local_item_id,capsule_key,capsule_name,line,sub_category,intensity,intensity_max,cup_sizes,bean_type,origins,roast_level,aroma_profile,flavor_notes,body,bitterness,acidity,roasting,is_decaf,is_limited_edition,price_per_capsule_krw,created_at,updated_at
916,ristretto,리스트레토,ORIGINAL,리스트레토,10,14,"[{""ml"": 25, ""type"": ""RISTRETTO""}, {""ml"": 40, ""type"": ""ESPRESSO""}]",,"[""브라질"", ""콜롬비아""]",MEDIUM_DARK,"{""primary"": [""은은한 과일""]}",미디엄 다크로스팅한 브라질산 원두가 강한 로스팅향을 주고 짧게 로스팅한 콜롬비아 원두가 산미를 더해 대조적인 쓴맛과 산미의 조화가 인상적인 커피입니다.,4,3,4,4,f,f,720,2026-02-23 10:39:14.748336,2026-02-23 10:39:14.748336
917,arpeggio,아르페지오,ORIGINAL,에스프레소,9,12,"[{""ml"": 25, ""type"": ""RISTRETTO""}, {""ml"": 40, ""type"": ""ESPRESSO""}]",Arabica,"[""브라질"", ""과테말라""]",DARK,"{""primary"": [""강한 로스팅"", ""코코아""]}",진하면서 크리미한 질감으로 강렬한 로스팅향과 코코아향이 조화를 이룹니다. 정교한 그라인딩으로 벨벳처럼 부드러워 거부할 수 없는 크리미한 질감을 표현했습니다.,3,3,4,3,f,f,720,2026-02-23 10:39:14.753797,2026-02-23 10:39:14.753797
918,arpeggio_extra,아르페지오 엑스트라,ORIGINAL,에스프레소,9,12,"[{""ml"": 25, ""type"": ""RISTRETTO""}, {""ml"": 40, ""type"": ""ESPRESSO""}]",Arabica,"[""브라질"", ""과테말라""]",DARK,"{""primary"": [""강한 로스팅"", ""코코아""]}","진하면서 크리미한 질감으로 강렬한 로스팅향과 코코아향이 조화를 이룹니다. 정교한 그라인딩으로 벨벳처럼 부드러워 거부할 수 없는 크리미한 질감을 표현했습니다. 과테말라산 원두에 카페인 함량을 높여, 한 잔에 약 95mg의 카페인을 담았습니다.",4,3,4,3,f,f,750,2026-02-23 10:39:14.756221,2026-02-23 10:39:14.756221
919,arpeggio_decaffeinato,아르페지오 디카페나토,ORIGINAL,에스프레소,9,14,"[{""ml"": 25, ""type"": ""RISTRETTO""}, {""ml"": 40, ""type"": ""ESPRESSO""}]",Arabica,"[""브라질"", ""코스타리카""]",DARK,"{""primary"": [""코코아""]}",진하면서 크리미한 질감으로 강렬한 로스팅향과 코코아향이 조화를 이룹니다. 정교한 그라인딩으로 벨벳처럼 부드러워 거부할 수 없는 크리미한 질감을 표현했습니다.,4,3,4,3,t,f,750,2026-02-23 10:39:14.759483,2026-02-23 10:39:14.759483
920,ristretto_decaffeinato,리스트레토 디카페나토,ORIGINAL,리스트레토,10,12,"[{""ml"": 25, ""type"": ""RISTRETTO""}, {""ml"": 40, ""type"": ""ESPRESSO""}]",,"[""브라질"", ""콜롬비아""]",MEDIUM_DARK,"{""primary"": [""은은한 과일""]}",미디엄 다크로스팅한 브라질산 원두의 강한 로스팅향에 짧게 로스팅한 콜롬비아 원두가 산미를 더해 대조적인 쓴맛과 산미가 조화를 이뢬 디카페인 커피입니다.,4,3,4,4,t,f,750,2026-02-23 10:39:14.763363,2026-02-23 10:39:14.763363
921,napoli,나폴리,ORIGINAL,에스프레소,13,14,"[{""ml"": 25, ""type"": ""RISTRETTO""}, {""ml"": 40, ""type"": ""ESPRESSO""}]",,"[""인디아"", ""우간다""]",DARK,"{""primary"": [""강한 로스팅"", ""로스팅""]}","인디아와 우간다 원두를 오랜 시간 다크 로스팅하여 묵직한 바디감과 함께 기분 좋은 쓴맛의 코코아 향, 그리고 벨벳 같은 부드러운 질감이 특징입니다.",5,5,2,5,f,f,720,2026-02-23 10:39:14.765227,2026-02-23 10:39:14.765227
922,kazaar,카자르,ORIGINAL,리스트레토,12,12,"[{""ml"": 25, ""type"": ""RISTRETTO""}, {""ml"": 40, ""type"": ""ESPRESSO""}]",,"[""인디아"", ""니카라과""]",DARK,"{""primary"": [""우디""]}",진하고 농후한 바디감이 선사하는 와일드한 풍미와 스파이시 향을 느껴보세요. 인디아산 원두의 크리미한 질감과 무게감에 니카라과 커피의 균형잡힌 맛이 부드러움을 줍니다.,5,5,2,5,f,f,720,2026-02-23 10:39:14.768762,2026-02-23 10:39:14.768762
923,roma,로마,ORIGINAL,에스프레소,8,,"[{""ml"": 25, ""type"": ""RISTRETTO""}, {""ml"": 40, ""type"": ""ESPRESSO""}]",,"[""멕시코"", ""브라질""]",LIGHT,"{""primary"": [""곡물"", ""우디""]}","멕시코 원두를 짧게 라이트로스팅하여 섬세한 우디향과 부드러운 산미를 느낄 수 있으며, 브라질산 원두의 곡물향이 더해져 강렬하면서도 부드러운 우아한 조화를 보이는 커피입니다.",3,3,4,3,f,f,720,2026-02-23 10:39:14.770797,2026-02-23 10:39:14.770797
924,corto,코르토,ORIGINAL,에스프레소,,,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",,"[""우간다"", ""에티오피아""]",DARK,"{""primary"": [""강한 로스팅"", ""스파이시""]}","우간다와 에티오피아의 원두를 오랜 시간 다크 로스팅하여 진한 풍미와 농후한 질감을 즐길 수 있는 커피입니다. 우유와 만나 여운을 남기는 풍부한 맛, 기분 좋은 쓴맛, 진한 질감의 바디감을 느끼게 합니다.",,,,,f,f,750,2026-02-23 10:39:14.77253,2026-02-23 10:39:14.77253
925,scuro,스쿠로,ORIGINAL,에스프레소,,,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",Arabica,"[""콜롬비아"", ""에티오피아""]",,"{""primary"": [""균형감"", ""로스팅""]}",콜롬비아와 에티오피아산 아라비카를 개별로스팅하여 진하고 풍부한 로스팅향을 가진 커피입니다. 커피의 고유한 아로마가 우유와 오묘한 조화를 이루면서 커피의 진한 풍미를 즐기실 수 있습니다.,,,,,f,f,750,2026-02-23 10:39:14.775719,2026-02-23 10:39:14.775719
926,chiaro,키아로,ORIGINAL,에스프레소,,,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",Arabica,"[""케냐"", ""인도네시아""]",LIGHT,"{""primary"": [""균형감"", ""비스킷""]}",케냐와 인도네시아산 아라비카를 라이트로스팅하여 커피 천연의 단맛이 잘 느껴지는 커피입니다. 우유를 첨가하면 크리미한 캐러멜향과 달콤한 비스킷향을 제대로 느낄 수 있습니다.,,,,,f,f,750,2026-02-23 10:39:14.777755,2026-02-23 10:39:14.777755
927,vanilla_flavored,바닐라향 커피,ORIGINAL,룽고,,,"[{""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""브라질"", ""콜롬비아""]",,"{""primary"": [""바닐라""]}",브라질산과 콜롬비아산 아라비카 원두 블렌드에 커스터드 바닐라향을 더한 커피입니다. 달콤한 비스킷향과 곡물향에 클래식한 바닐라향이 만나 기쁘을 더합니다.,2,2,3,2,f,f,860,2026-02-23 10:39:14.781515,2026-02-23 10:39:14.781515
928,caramel_creme,캐러멜향 커피,ORIGINAL,룽고,,,"[{""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""브라질"", ""콜롬비아""]",,"{""primary"": [""캐러멜""]}",남미 아라비카 커피에 캐러멜의 달콤함이 가미된 가향 블렌드입니다. 달콤한 비스킷향과 곡물향에 클래식 캐러멜향이 만나 기쁨을 더합니다. 합성 향료 함유.,2,2,3,2,f,f,860,2026-02-23 10:39:14.783452,2026-02-23 10:39:14.783452
929,chocolate_fudge,초콜릿향 커피,ORIGINAL,룽고,,,"[{""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""브라질"", ""콜롬비아""]",,"{""primary"": [""초콜릿""]}",남미 아라비카 커피의 곡물향과 어우러진 다크 초콜릿향의 리치함으로 나를 채우는 풍성한 만족감을 느껴보세요. 달콤한 비스킷향과 곡물향에 우아한 다크 초콜릿향이 만나 기쁨을 더합니다. 천연향료(코코아향) 0.033% 함유.,2,2,3,2,f,f,860,2026-02-23 10:39:14.785432,2026-02-23 10:39:14.785432
930,hazelnut,헤이즐넛향 커피,ORIGINAL,룽고,,,"[{""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""브라질"", ""콜롬비아""]",,"{""primary"": [""헤이즐넛""]}",남미 아라비카 커피에 캐러멜라이즈 견과류향이 부드럽게 감싸 거부할 수 없는 달콤한 휴식을 제공합니다. 달콤한 비스킷향과 곡물향에 로스티드 헤이즐넛향이 만나 기쁨을 더합니다. 합성 향료 함유.,2,2,3,2,f,f,860,2026-02-23 10:39:14.787181,2026-02-23 10:39:14.787181
931,vanilla_decaffeinato,바닐라향 디카페나토 커피,ORIGINAL,룽고,,,"[{""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""남미""]",,"{""primary"": [""바닐라""]}",남미 아라비카 커피의 실키한 부드러움과 따뜻한 커스터드 바닐라향이 돋보이는 디카페인 커피입니다. 달콤한 비스킷향과 곡물향에 클래식한 바닐라향이 만나 기쁨을 더합니다. 천연향료(바닐라향) 0.012% 함유.,2,1,2,2,t,f,890,2026-02-23 10:39:14.789011,2026-02-23 10:39:14.789011
932,vienna_lungo_decaffeinato,비엔나 룽고 디카페나토,ORIGINAL,룽고,7,12,"[{""ml"": 110, ""type"": ""LUNGO""}]",,,,"{""primary"": [""맥아""]}","부드러운 바디감과 균형감이 뛰어난 감미로운 맥아 곡물향 디카페인 커피로 한 모금, 한 모금 우아하게 즐기며 비엔나 커피 하우스로 여행해 보세요.",2,2,2,3,t,f,780,2026-02-23 10:39:14.792337,2026-02-23 10:39:14.792337
933,volluto_decaffeinato,볼루토 디카페나토,ORIGINAL,에스프레소,4,12,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",100% Arabica,"[""남미"", ""콜롬비아""]",,"{""primary"": [""균형감"", ""과일"", ""곡물""]}",가볍게 로스팅된 남미산 순수 아라비카를 블렌딩하여 달콤한 비스킷 향과 함께 은은한 산미와 과일향이 어우러지는 디카페인 커피입니다. 콜롬비아산 커피는 습식가공과 자연 건조 과정을 통해 신선한 붉은 과일의 향을 더합니다.,2,2,4,3,t,f,750,2026-02-23 10:39:14.79436,2026-02-23 10:39:14.79436
934,paris,파리,ORIGINAL,에스프레소,6,12,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",,"[""베트남"", ""라틴 아메리카""]",LIGHT,"{""primary"": [""곡물"", ""비스킷"", ""시트러스""]}",라이트 로스팅한 베트남산 원두와 섬세한 라틴 아메리카 원두의 블렌드로 기분 좋은 쓴맛과 부드러운 곡물 향이 균형을 이루는 커피입니다. 부드러운 비스킷 향이 조화를 이룤 부드럽고 균형 잡힌 풍미로 고급감을 주는 파리지앙의 커피입니다.,3,3,3,3,f,f,750,2026-02-23 10:39:14.796104,2026-02-23 10:39:14.796104
935,istanbul,이스탄불,ORIGINAL,에스프레소,8,12,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",,"[""에티오피아"", ""인도""]",,"{""primary"": [""로스팅"", ""과일""]}",벨벳처럼 부드럽고 풍성한 블렌드로 강도 높은 로스팅향과 과일향이 대조적인 조화를 이루며 달콤한 아몬드향의 여운이 남는 커피입니다.,3,3,2,4,f,f,750,2026-02-23 10:39:14.79794,2026-02-23 10:39:14.79794
936,tokyo_lungo,도쿄 룽고,ORIGINAL,룽고,6,14,"[{""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""에티오피아"", ""멕시코""]",,"{""primary"": [""로스팅"", ""꽃""]}",에티오피아의 풍부하고 섬세한 꽃향이 돋보이며 멕시코 원두를 블렌드하여 적절한 강도와 바디감을 준 아라비카 커피입니다.,3,1,3,3,f,f,750,2026-02-23 10:39:14.802243,2026-02-23 10:39:14.802243
937,shanghai_lungo,상하이 룽고,ORIGINAL,룽고,5,12,"[{""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""중국(윤난성)"", ""케냐""]",,"{""primary"": [""시트러스"", ""베리""]}","부드럽고 크리미한 바디감을 가진 중국 윤난성의 아라비카가 케냐 원두의 달콤한 베리향과 우아한 베르가못, 청량한 시트러스향과 어우러져 섬세한 풍미를 자랑합니다. 빠르고 가벼운 개별 로스팅을 통해 원두 개별 특징을 그대로 살렸습니다.",2,1,4,3,f,f,750,2026-02-23 10:39:14.804033,2026-02-23 10:39:14.804033
938,cape_town_lungo,케이프타운 룽고,ORIGINAL,룽고,10,,"[{""ml"": 110, ""type"": ""LUNGO""}]",,"[""멕시코"", ""인디아""]",,"{""primary"": [""로스팅"", ""우디""]}",미디엄로스팅한 멕시코 원두가 풍부한 바디감을 주고 다크로스팅한 인디아 원두가 진한 쓴맛과 향긋한 우디향을 선사하는 인텐스한 룽고 커피입니다.,4,4,1,4,f,f,750,2026-02-23 10:39:14.808255,2026-02-23 10:39:14.808255
939,stockholm_lungo,스톡홀름 룽고,ORIGINAL,룽고,8,12,"[{""ml"": 110, ""type"": ""LUNGO""}]",100% Arabica,"[""인디아"", ""콜롬비아""]",,"{""primary"": [""로스팅""]}","몬순 가공 인디아 원두의 맥아향의 깊은 풍미와 진한 바디, 습식 가공 콜롬비아 원두의 섬세한 향미가 조화로운 100% 순수 아라비카 커피입니다.",3,3,2,4,f,f,750,2026-02-23 10:39:14.814056,2026-02-23 10:39:14.814056
940,vienna_lungo,비엔나 룽고,ORIGINAL,룽고,6,14,"[{""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""브라질"", ""콜롬비아""]",LIGHT_MEDIUM,"{""primary"": [""맥아""]}",균형감이 좋은 브라질 버번 원두와 습식 가공 콜롬비아 아라비카 원두를 미디엄라이트 로스팅하여 부드러운 맥아향을 선사합니다.,2,2,2,3,f,f,750,2026-02-23 10:39:14.818291,2026-02-23 10:39:14.818291
941,buenos_aires_lungo,부에노스 아이레스 룽고,ORIGINAL,룽고,4,12,"[{""ml"": 110, ""type"": ""LUNGO""}]",,"[""콜롬비아"", ""우간다""]",LIGHT,"{""primary"": [""캐러멜"", ""곡물""]}",습식 가공 콜롬비아 아라비카와 우간다 로부스타의 원두를 라이트로스팅하여 고소한 곡물향과 스윗한 팝콘향을 느낄 수 있습니다.,1,2,2,3,f,f,750,2026-02-23 10:39:14.821034,2026-02-23 10:39:14.821034
942,capriccio,카프리치오,ORIGINAL,에스프레소,5,14,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",Arabica & Robusta,"[""남미""]",LIGHT,"{""primary"": [""균형감"", ""곡물""]}","라이트 로스팅한 고지대에서 자란 남미산 아라비카를 블렌딩하고 로부스타의 향을 더해 산뜻한 산미와 강렬함, 특유의 곡물향이 돋보이는 커피입니다.",2,2,4,2,f,f,720,2026-02-23 10:39:14.823635,2026-02-23 10:39:14.823635
943,cosi,코지,ORIGINAL,에스프레소,4,14,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",100% Arabica,"[""케냐"", ""코스타리카""]",LIGHT,"{""primary"": [""과일"", ""곡물""]}",라이트 로스팅한 케냐 커피의 과일향과 코스타리카 커피의 마일드한 곡물의 향의 섬세한 맛의 조화를 이루는 순수 아라비카 커피입니다. 살짝 구운 곡물향에 섬세하고 균형잡힌 과일향을 선사합니다.,2,2,4,2,f,f,720,2026-02-23 10:39:14.828484,2026-02-23 10:39:14.828484
944,india,인디아,ORIGINAL,에스프레소,11,14,"[{""ml"": 40, ""type"": ""ESPRESSO""}, {""ml"": 110, ""type"": ""LUNGO""}]",Arabica & Robusta,"[""인디아""]",,"{""primary"": [""스파이시"", ""강한 로스팅""]}","인도의 특징적인 몬순 가공법을 통해 탄생한 인도산 아라비카와 로부스타 블랜드의 묵직한 바디감, 습한 해풍의 영향을 받은 스파이시 향의 와일드하고 강렬한 풍미를 선사합니다.",4,4,1,4,f,f,860,2026-02-23 10:39:14.830896,2026-02-23 10:39:14.830896
945,indonesia,인도네시아,ORIGINAL,에스프레소,8,14,"[{""ml"": 40, ""type"": ""ESPRESSO""}, {""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""인도네시아(수마트라)""]",,"{""primary"": [""강한 로스팅"", ""우디"", ""곡물""]}",인도네시아 기후에 맞춘 습식 탈곡 가공법으로 탄생된 커피로 부드러운 질감과 풍성한 바디감에 진한 우디향과 타바코 잎의 향이 스며들어 마치 싱그러운 열대 우림에 초대받은 느낌을 선사합니다.,3,2,4,3,f,f,860,2026-02-23 10:39:14.834225,2026-02-23 10:39:14.834225
946,nicaragua,니카라과,ORIGINAL,에스프레소,5,,"[{""ml"": 40, ""type"": ""ESPRESSO""}, {""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""니카라과""]",,"{""primary"": [""꿀"", ""곡물""]}",한 입 머금고 음미하면 느껴지는 달콤한 꿀향과 고소하고 부드러운 곡물향이 감미로운 아라비카 커피입니다. 각별한 노력이 필요한 보기 드문 블랙허니 가공법을 통해 독특한 달콤함이 완성됩니다.,2,2,3,2,f,f,860,2026-02-23 10:39:14.836799,2026-02-23 10:39:14.836799
947,ethiopia,에티오피아,ORIGINAL,에스프레소,4,14,"[{""ml"": 40, ""type"": ""ESPRESSO""}, {""ml"": 110, ""type"": ""LUNGO""}]",Arabica,"[""에티오피아""]",,"{""primary"": [""과일"", ""꽃""]}",에티오피아 아라비카의 건식가공을 통한 특징적인 향으로 잘익은 과일에서부터 오렌지 꽃향까지 놀랍도록 풍부하고 따뜻한 아로마를 만끽해 보세요.,3,2,4,2,f,f,860,2026-02-23 10:39:14.839214,2026-02-23 10:39:14.839214
948,ristretto_classico_vertuo,리스트레토 클라시코,VERTUO,리스트레토,9,12,"[{""ml"": 25, ""type"": ""RISTRETTO""}]",Arabica,"[""온두라스"", ""엘살바도르"", ""과테말라""]",DARK,"{""primary"": [""베리"", ""코코아"", ""강한 로스팅""]}",강하게 로스팅한 코코아향과 과일향의 우아한 밸런스가 돋보이는 강렬한 풍미. 짧은 시간 강하게 다크 로스팅하여 높은 커피 강도와 함께 은은한 과일향을 선사합니다.,3,4,3,3,f,f,770,2026-02-23 10:39:14.846389,2026-02-23 10:39:14.846389
949,fortado_decaffeinato_vertuo,포르타도 디카페나토,VERTUO,그랑 룽고,8,12,"[{""ml"": 150, ""type"": ""GRAN_LUNGO""}]",Arabica & Robusta,"[""인도"", ""라틴 아메리카""]",,"{""primary"": [""우디""]}",포르타도와 같이 강렬한 풍미가 매력적인 포르타도 디카페나토는 카페인을 제거한 인도산 로부스타와 라틴 아메리카 원두를 블렌드하여 포르타도의 진한 코코아와 오크 향을 그대로 전하는 진한 커피의 풍미를 선사하는 디카페인 커피입니다.,4,5,2,5,t,f,970,2026-02-23 10:39:14.848169,2026-02-23 10:39:14.848169
950,costa_rica_vertuo,코스타리카,VERTUO,그랑 룽고,7,14,"[{""ml"": 150, ""type"": ""GRAN_LUNGO""}]",Arabica,"[""코스타리카""]",,"{""primary"": [""맥아"", ""곡물""]}","코스타리카의 아라비카 원두를 화산 지대의 천연 온천수에 담가 습식 가공한 커피로 온천수의 미네랄 성분이 생두를 깨끗하게 씻어내어 깔끔하고 밸런스가 좋으며, 스윗한 맥아향의 고급스러운 풍미와 풍부한 바디감을 선사합니다.",4,4,2,4,f,f,1000,2026-02-23 10:39:14.850321,2026-02-23 10:39:14.850321
951,ethiopia_vertuo,에티오피아,VERTUO,그랑 룽고,4,14,"[{""ml"": 150, ""type"": ""GRAN_LUNGO""}]",Arabica,"[""에티오피아""]",,"{""primary"": [""꽃""]}",뜨거운 태양 아래서 커피 체리를 건식 가공하여 부드러운 머스크 향과 섬세하고 강렬한 꽃향을 띠며 묵직한 바디감과 과일잼의 새콤달콤한 풍미를 선사합니다.,3,1,3,2,f,f,1000,2026-02-23 10:39:14.852566,2026-02-23 10:39:14.852566
952,fortado_vertuo,포르타도,VERTUO,그랑 룽고,8,12,"[{""ml"": 150, ""type"": ""GRAN_LUNGO""}]",Arabica & Robusta,"[""인도"", ""라틴 아메리카""]",DARK,"{""primary"": [""코코아""]}",풍부한 바디감을 선사하는 인도산 로부스타와 긴 시간 다크 로스팅하여 진한 코코아향과 오크향을 선사하는 라틴 아메리카산 아라비카 블렌드로 더욱 진한 커피의 풍미를 선사하는 그랑 룽고 커피입니다.,4,5,2,5,f,f,930,2026-02-23 10:39:14.854281,2026-02-23 10:39:14.854281
953,arondio_vertuo,아론디오,VERTUO,그랑 룽고,6,14,"[{""ml"": 150, ""type"": ""GRAN_LUNGO""}]",Arabica & Robusta,"[""콜롬비아"", ""과테말라""]",DARK,"{""primary"": [""곡물""]}",은은한 산미와 부드러운 곡물향의 습식 가공한 콜롬비아산 아라비카 원두와 긴 시간 다크 로스팅하여 보다 강렬한 곡물향을 전하는 과테말라산 로부스타 원두 블렌드로 깊고 깔끔한 풍미에 균형잡힌 맛까지 선사하는 그랑 룽고 커피입니다.,3,3,3,3,f,f,930,2026-02-23 10:39:14.856075,2026-02-23 10:39:14.856075
954,inizio_vertuo,이니지오,VERTUO,그랑 룽고,4,12,"[{""ml"": 150, ""type"": ""GRAN_LUNGO""}]",Arabica,"[""케냐"", ""에티오피아""]",,"{""primary"": [""꽃""]}",케냐와 에티오피아산 아라비카 블렌드로 벨벳처럼 부드러운 바디감이 따뜻하고 진한 구운 곡물향을 선사합니다. 야생의 꽃향은 느긋한 일요일 오후의 정취를 더해 줍니다.,2,2,4,2,f,f,930,2026-02-23 10:39:14.859771,2026-02-23 10:39:14.859771
955,altissio_decaffeinato_vertuo,알티시오 디카페나토,VERTUO,에스프레소,9,14,"[{""ml"": 40, ""type"": ""ESPRESSO""}]",Arabica & Robusta,"[""인디아"", ""브라질"", ""코스타리카""]",DARK,"{""primary"": [""코코아""]}","카페인을 제거한 인디아, 브라질, 코스타리카 원두를 블렌드하여 풍부하고 진한 바디감에 부드럽고 고소한 곡물향을 선사하는 디카페인 에스프레소 커피입니다. 대부분의 아라비카 원두는 짧은 시간 다크 로스팅하여 풍부한 바디감의 볼드한 에스프레소 커피가 탄생했습니다.",4,3,2,4,t,f,800,2026-02-23 10:39:14.861696,2026-02-23 10:39:14.861696
